time,hdop,satellites,total_satellites,vdop,GPS,GLONASS,Galileo,Beidou
20:06:38,0.91,12,7,,0,3,0,0
20:06:39,0.87,13,,,,,,
20:06:40,0.87,13,,,,,,
20:06:41,0.87,13,,,,,,
20:06:42,0.87,13,,,,,,
20:06:43,0.87,13,7,,0,3,0,0
20:06:44,0.87,13,,,,,,
20:06:45,0.87,13,,,,,,
20:06:46,0.99,12,,,,,,
20:06:47,0.99,12,,,,,,
20:06:48,0.99,12,7,,0,3,0,0
20:06:49,0.99,12,,,,,,
20:06:50,0.99,12,,,,,,
20:06:51,0.99,12,,,,,,
20:06:52,1.16,11,,,,,,
20:06:53,1.16,11,7,,0,3,0,0
20:06:54,1.16,11,,,,,,
20:06:55,1.16,11,,,,,,
20:06:56,1.16,11,,,,,,
20:06:57,0.99,12,,,,,,
20:06:58,0.99,12,7,,0,3,0,0
20:06:59,1.16,11,,,,,,
20:07:00,1.16,11,,,,,,
20:07:01,0.95,12,,,,,,
20:07:02,0.95,12,,,,,,
20:07:03,0.95,12,7,,0,3,0,0
20:07:04,0.95,12,,,,,,
20:07:05,0.95,12,,,,,,
20:07:06,1.16,11,,,,,,
20:07:07,1.16,11,,,,,,
20:07:08,1.16,11,7,,0,3,0,0
20:07:09,1.16,11,,,,,,
20:07:10,1.16,11,,,,,,
20:07:11,1.16,11,,,,,,
20:07:12,1.16,11,,,,,,
20:07:13,1.16,11,7,,0,3,0,0
20:07:14,1.16,11,,,,,,
20:07:15,1.16,11,,,,,,
20:07:16,1.16,11,,,,,,
20:07:17,1.16,11,,,,,,
20:07:18,1.16,11,7,,0,3,0,0
20:07:19,1.16,11,,,,,,
20:07:20,1.16,11,,,,,,
20:07:21,1.16,11,,,,,,
20:07:22,1.16,11,,,,,,
20:07:23,1.16,11,7,,0,3,0,0
20:07:24,1.16,11,,,,,,
20:07:25,1.16,11,,,,,,
20:07:26,1.16,11,,,,,,
20:07:27,1.16,11,,,,,,
20:07:28,1.16,11,7,,0,3,0,0
20:07:29,1.16,11,,,,,,
20:07:30,1.16,11,,,,,,
20:07:31,1.16,11,,,,,,
20:07:32,1.16,11,,,,,,
20:07:33,1.16,11,7,,0,3,0,0
20:07:34,1.16,11,,,,,,
20:07:35,0.99,12,,,,,,
20:07:36,0.99,12,,,,,,
20:07:37,0.99,12,,,,,,
20:07:38,0.99,12,7,,0,3,0,0
20:07:39,0.99,12,,,,,,
20:07:40,0.99,12,,,,,,
20:07:41,0.99,12,,,,,,
20:07:42,0.99,12,,,,,,
20:07:43,0.99,12,7,,0,3,0,0
20:07:44,0.99,12,,,,,,
20:07:45,0.99,12,,,,,,
20:07:46,0.99,12,,,,,,
20:07:47,0.99,12,,,,,,
20:07:48,0.99,12,7,,0,3,0,0
20:07:49,0.87,13,,,,,,
20:07:50,0.87,13,,,,,,
20:07:51,0.87,13,,,,,,
20:07:52,0.87,13,,,,,,
20:07:53,0.87,13,7,,0,3,0,0
20:07:54,0.87,13,,,,,,
20:07:55,0.87,13,,,,,,
20:07:56,0.87,13,,,,,,
20:07:57,0.87,13,,,,,,
20:07:58,0.87,13,7,,0,3,0,0
20:07:59,0.87,13,,,,,,
20:08:00,0.87,13,,,,,,
20:08:01,0.87,13,,,,,,
20:08:02,0.87,13,,,,,,
20:08:03,0.87,13,7,,0,3,0,0
20:08:04,0.87,13,,,,,,
20:08:05,0.81,14,,,,,,
20:08:06,0.81,14,,,,,,
20:08:07,0.81,14,,,,,,
20:08:08,0.81,14,7,,0,3,0,0
20:08:09,0.81,14,,,,,,
20:08:10,0.81,14,,,,,,
20:08:11,0.81,14,,,,,,
20:08:12,0.81,14,,,,,,
20:08:13,0.81,14,7,,0,3,0,0
20:08:14,0.82,13,,,,,,
20:08:15,0.82,13,,,,,,
20:08:16,0.82,13,,,,,,
20:08:17,0.82,13,,,,,,
20:08:18,0.82,13,7,,0,3,0,0
20:08:19,0.82,13,,,,,,
20:08:20,0.82,13,,,,,,
20:08:21,0.82,13,,,,,,
20:08:22,0.88,12,,,,,,
20:08:23,0.88,12,7,,0,3,0,0
20:08:24,0.88,12,,,,,,
20:08:25,0.82,13,,,,,,
20:08:26,0.82,13,,,,,,
20:08:27,0.82,13,,,,,,
20:08:28,0.82,13,7,,0,3,0,0
20:08:29,0.82,13,,,,,,
20:08:30,0.82,13,,,,,,
20:08:31,0.82,13,,,,,,
20:08:32,0.82,13,,,,,,
20:08:33,0.82,13,7,,0,3,0,0
20:08:34,0.81,14,,,,,,
20:08:35,0.81,14,,,,,,
20:08:36,0.87,13,,,,,,
20:08:37,0.87,13,,,,,,
20:08:38,0.87,13,7,,0,3,0,0
20:08:39,0.81,14,,,,,,
20:08:40,0.81,14,,,,,,
20:08:41,0.81,14,,,,,,
20:08:42,0.81,14,,,,,,
20:08:43,0.81,14,7,,0,3,0,0
20:08:44,0.81,14,,,,,,
20:08:45,0.81,14,,,,,,
20:08:46,0.81,14,,,,,,
20:08:47,0.81,14,,,,,,
20:08:48,0.81,14,7,,0,3,0,0
20:08:49,0.81,14,,,,,,
20:08:50,0.87,13,,,,,,
20:08:51,0.87,13,,,,,,
20:08:52,0.87,13,,,,,,
20:08:53,0.87,13,7,,0,3,0,0
20:08:54,0.87,13,,,,,,
20:08:55,0.81,14,,,,,,
20:08:56,0.81,14,,,,,,
20:08:57,0.81,14,,,,,,
20:08:58,0.81,14,7,,0,3,0,0
20:08:59,0.81,14,,,,,,
20:09:00,0.87,13,,,,,,
20:09:01,0.87,13,,,,,,
20:09:02,0.88,12,,,,,,
20:09:03,0.88,12,7,,0,3,0,0
20:09:04,0.88,12,,,,,,
20:09:05,1.0,11,,,,,,
20:09:06,1.0,11,,,,,,
20:09:07,1.0,11,,,,,,
20:09:08,1.0,11,7,,0,3,0,0
